sample_index,Scenario,instructions,cpu-migrations,mem_access_rd,mem_access_wr,cache-misses,L1-icache-loads,dTLB-store-misses
0,Attack,484273395.0,0.0,182447274.0,157319220.0,2113406.0,245241558.0,127193.0
1,Attack,336089264.0,0.0,83614575.0,51690301.0,1521862.0,213434196.0,161965.0
2,Attack,250458619.0,0.0,62673568.0,123802350.0,1212126.0,69182309.0,18750.0
3,Attack,381584161.0,0.0,61085549.0,49477220.0,681121.0,158026571.0,226431.0
4,Attack,2012275867.0,0.0,464448105.0,344314102.0,11346447.0,943011302.0,776176.0
5,Attack,1921131963.0,0.0,760795345.0,792200055.0,17096797.0,1128674966.0,1055916.0
6,Attack,385484456.0,0.0,37022758.0,99294783.0,4745371.0,217400919.0,209502.0
7,Attack,2385708928.0,0.0,639993535.0,577036911.0,28970141.0,1179498672.0,1436056.0
8,Attack,2111334121.0,0.0,486334442.0,395049181.0,19032271.0,990006762.0,1577697.0
9,Attack,1440124515.0,0.0,406010793.0,433612921.0,21642217.0,684677645.0,945868.0
10,Attack,1955500028.0,0.0,224444035.0,206894441.0,18147944.0,636883848.0,676079.0
11,Attack,2315551332.0,0.0,878183178.0,632640749.0,27977097.0,1371755284.0,1845004.0
12,Attack,5183244384.0,0.0,1049118565.0,939815099.0,65280015.0,2156616789.0,3325189.0
13,Attack,5738680887.0,0.0,1240253242.0,1492510782.0,42269127.0,2257607126.0,2068989.0
14,Attack,335712469.0,0.0,93393095.0,114136514.0,2580992.0,162888316.0,199545.0
15,Attack,1486268571.0,0.0,202185646.0,258577369.0,9586142.0,1081136693.0,1307254.0
16,Attack,13760587487.0,0.0,1534336776.0,401579076.0,82197086.0,3791297541.0,12078930.0
17,Attack,8302095215.0,0.0,1920952841.0,1641366695.0,51745179.0,3490357734.0,2868153.0
18,Attack,3493537533.0,0.0,547250297.0,559605131.0,14828240.0,1721523504.0,851753.0
19,Attack,4371843046.0,0.0,798171730.0,797929178.0,25425277.0,2185550956.0,829584.0
